商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
500777,,,,,,,,5,三菱重工,【三菱重工】小能力1方向天井カセット形 シングル 8畳程度 SRTシリーズ,1,,"SRT25N2-SET｜【三菱重工 ハウジングエアコン小能力1方向天井カセット形】 シングル 8畳程度 単相200V ワイヤレス SRTシリーズ｜販売価格:\393,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン小能力1方向天井カセット形】 シングル<br>8畳程度 単相200V ワイヤレス SRTシリーズ,SRT25N2-SET,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srt25n2-set.jpg,"【三菱重工 ハウジングエアコン小能力1方向天井カセット形】 シングル<br>8畳程度 単相200V ワイヤレス SRTシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srt25n2-set.jpg,,,"<ul><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sct25n2.jpg,,,,jyuko_housing/201608/sub/srt-rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：SRT25N2 x 1<br />室外機：SCT25N2 x 1<br />パネル：TCPN-W x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRT25N2-SET,,1,,424440,424440,,0,,,,,,,,,,,,,,,,,"200181,210004",
500778,,,,,,,,5,三菱重工,【三菱重工】1方向天井カセット形 シングル 10畳程度 SRTシリーズ,1,,"SRT28N2-SET｜【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル 10畳程度 単相200V ワイヤレス SRTシリーズ｜販売価格:\418,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>10畳程度 単相200V ワイヤレス SRTシリーズ,SRT28N2-SET,"ホワイト,ベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srt28n2-set.jpg,"【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>10畳程度 単相200V ワイヤレス SRTシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srt28n2-set.jpg,,,"<ul><li><font style=""color: red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sct28n2.jpg,,,,jyuko_housing/201608/sub/srt-rc.jpg,,,,jyuko_housing/201608/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：SRT28N2 x 1<br />室外機：SCT28N2 x 1<br />パネル：TTPN-W x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRT28N2-SET,,1,,451440,451440,,0,,,,,,,,,,,,,,,,,"200181,210005",
500779,,,,,,,,5,三菱重工,【三菱重工】1方向天井カセット形 シングル 10畳程度 SRTシリーズ,1,,"SRT28N2-SET-wood｜【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル 10畳程度 単相200V ワイヤレス SRTシリーズ｜販売価格:\433,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>10畳程度 単相200V ワイヤレス SRTシリーズ,SRT28N2-SET-wood,"板目,柾目",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srt28n2-set-wood.jpg,"【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>10畳程度 単相200V ワイヤレス SRTシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srt28n2-set-wood.jpg,,,"<ul><li><font style=""color: red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sct28n2.jpg,,,,jyuko_housing/201608/sub/srt-rc.jpg,,,,jyuko_housing/201608/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：SRT28N2 x 1<br />室外機：SCT28N2 x 1<br />パネル：TTPN-M x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRT28N2-SET-wood,,1,,467640,467640,,0,,,,,,,,,,,,,,,,,"200181,210005",
500780,,,,,,,,5,三菱重工,【三菱重工】1方向天井カセット形 シングル 12畳程度 SRTシリーズ,1,,"SRT36N2-SET｜【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル 12畳程度 単相200V ワイヤレス SRTシリーズ｜販売価格:\463,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>12畳程度 単相200V ワイヤレス SRTシリーズ,SRT36N2-SET,"ホワイト,ベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srt36n2-set.jpg,"【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>12畳程度 単相200V ワイヤレス SRTシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srt36n2-set.jpg,,,"<ul><li><font style=""color: red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sct36n2.jpg,,,,jyuko_housing/201608/sub/srt-rc.jpg,,,,jyuko_housing/201608/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：SRT36N2 x 1<br />室外機：SCT36N2 x 1<br />パネル：TTPN-W x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRT36N2-SET,,1,,500040,500040,,0,,,,,,,,,,,,,,,,,"200181,210006",
500781,,,,,,,,5,三菱重工,【三菱重工】1方向天井カセット形 シングル 12畳程度 SRTシリーズ,1,,"SRT36N2-SET-wood｜【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル 12畳程度 単相200V ワイヤレス SRTシリーズ｜販売価格:\478,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>12畳程度 単相200V ワイヤレス SRTシリーズ,SRT36N2-SET-wood,"板目,柾目",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srt36n2-set-wood.jpg,"【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>12畳程度 単相200V ワイヤレス SRTシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srt36n2-set-wood.jpg,,,"<ul><li><font style=""color: red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sct36n2.jpg,,,,jyuko_housing/201608/sub/srt-rc.jpg,,,,jyuko_housing/201608/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：SRT36N2 x 1<br />室外機：SCT36N2 x 1<br />パネル：TTPN-M x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRT36N2-SET-wood,,1,,516240,516240,,0,,,,,,,,,,,,,,,,,"200181,210006",
500782,,,,,,,,5,三菱重工,【三菱重工】1方向天井カセット形 シングル 14畳程度 SRTシリーズ,1,,"SRT40N2-SET｜【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル 14畳程度 単相200V ワイヤレス SRTシリーズ｜販売価格:\508,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>14畳程度 単相200V ワイヤレス SRTシリーズ,SRT40N2-SET,"ホワイト,ベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srt40n2-set.jpg,"【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>14畳程度 単相200V ワイヤレス SRTシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srt40n2-set.jpg,,,"<ul><li><font style=""color: red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sct40n2.jpg,,,,jyuko_housing/201608/sub/srt-rc.jpg,,,,jyuko_housing/201608/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：SRT40N2 x 1<br />室外機：SCT40N2 x 1<br />パネル：TTPN-W x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRT40N2-SET,,1,,548640,548640,,0,,,,,,,,,,,,,,,,,"200181,210007",
500783,,,,,,,,5,三菱重工,【三菱重工】1方向天井カセット形 シングル 14畳程度 SRTシリーズ,1,,"SRT40N2-SET-wood｜【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル 14畳程度 単相200V ワイヤレス SRTシリーズ｜販売価格:\523,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>14畳程度 単相200V ワイヤレス SRTシリーズ,SRT40N2-SET-wood,"板目,柾目",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srt40n2-set-wood.jpg,"【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>14畳程度 単相200V ワイヤレス SRTシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srt40n2-set-wood.jpg,,,"<ul><li><font style=""color: red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sct40n2.jpg,,,,jyuko_housing/201608/sub/srt-rc.jpg,,,,jyuko_housing/201608/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：SRT40N2 x 1<br />室外機：SCT40N2 x 1<br />パネル：TTPN-M x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRT40N2-SET-wood,,1,,564840,564840,,0,,,,,,,,,,,,,,,,,"200181,210007",
500784,,,,,,,,5,三菱重工,【三菱重工】1方向天井カセット形 シングル 16畳程度 SRTシリーズ,1,,"SRT50N2-SET｜【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル 16畳程度 単相200V ワイヤレス SRTシリーズ｜販売価格:\581,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>16畳程度 単相200V ワイヤレス SRTシリーズ,SRT50N2-SET,"ホワイト,ベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srt50n2-set.jpg,"【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>16畳程度 単相200V ワイヤレス SRTシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srt50n2-set.jpg,,,"<ul><li><font style=""color: red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sct50n2.jpg,,,,jyuko_housing/201608/sub/srt-rc.jpg,,,,jyuko_housing/201608/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：SRT50N2 x 1<br />室外機：SCT50N2 x 1<br />パネル：TTPN-W x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRT50N2-SET,,1,,627480,627480,,0,,,,,,,,,,,,,,,,,"200181,210010",
500785,,,,,,,,5,三菱重工,【三菱重工】1方向天井カセット形 シングル 16畳程度 SRTシリーズ,1,,"SRT50N2-SET-wood｜【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル 16畳程度 単相200V ワイヤレス SRTシリーズ｜販売価格:\596,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>16畳程度 単相200V ワイヤレス SRTシリーズ,SRT50N2-SET-wood,"板目,柾目",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srt50n2-set-wood.jpg,"【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>16畳程度 単相200V ワイヤレス SRTシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srt50n2-set-wood.jpg,,,"<ul><li><font style=""color: red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sct50n2.jpg,,,,jyuko_housing/201608/sub/srt-rc.jpg,,,,jyuko_housing/201608/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：SRT50N2 x 1<br />室外機：SCT50N2 x 1<br />パネル：TTPN-M x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRT50N2-SET-wood,,1,,643680,643680,,0,,,,,,,,,,,,,,,,,"200181,210010",
500786,,,,,,,,5,三菱重工,【三菱重工】1方向天井カセット形 シングル 18畳程度 SRTシリーズ,1,,"SRT56N2-SET｜【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル 18畳程度 単相200V ワイヤレス SRTシリーズ｜販売価格:\681,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>18畳程度 単相200V ワイヤレス SRTシリーズ,SRT56N2-SET,"ホワイト,ベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srt56n2-set.jpg,"【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>18畳程度 単相200V ワイヤレス SRTシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srt56n2-set.jpg,,,"<ul><li><font style=""color: red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sct56n2.jpg,,,,jyuko_housing/201608/sub/srt-rc.jpg,,,,jyuko_housing/201608/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：SRT56N2 x 1<br />室外機：SCT56N2 x 1<br />パネル：TTPN-W x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRT56N2-SET,,1,,735480,735480,,0,,,,,,,,,,,,,,,,,"200181,210014",
500787,,,,,,,,5,三菱重工,【三菱重工】1方向天井カセット形 シングル 18畳程度 SRTシリーズ,1,,"SRT56N2-SET-wood｜【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル 18畳程度 単相200V ワイヤレス SRTシリーズ｜販売価格:\696,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>18畳程度 単相200V ワイヤレス SRTシリーズ,SRT56N2-SET-wood,"板目,柾目",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srt56n2-set-wood.jpg,"【三菱重工 ハウジングエアコン1方向天井カセット形】 シングル<br>18畳程度 単相200V ワイヤレス SRTシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srt56n2-set-wood.jpg,,,"<ul><li><font style=""color: red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sct56n2.jpg,,,,jyuko_housing/201608/sub/srt-rc.jpg,,,,jyuko_housing/201608/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：SRT56N2 x 1<br />室外機：SCT56N2 x 1<br />パネル：TTPN-M x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRT56N2-SET-wood,,1,,751680,751680,,0,,,,,,,,,,,,,,,,,"200181,210014",
500788,,,,,,,,5,三菱重工,【三菱重工】2方向天井カセット形 シングル 14畳程度 SRTWシリーズ,1,,"SRTW40N2-SET｜【三菱重工 ハウジングエアコン2方向天井カセット形】 シングル 14畳程度 単相200V ワイヤレス SRTWシリーズ｜販売価格:\525,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン2方向天井カセット形】 シングル<br>14畳程度 単相200V ワイヤレス SRTWシリーズ,SRTW40N2-SET,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srtw40n2-set.jpg,"【三菱重工 ハウジングエアコン2方向天井カセット形】 シングル<br>14畳程度 単相200V ワイヤレス SRTWシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srtw40n2-set.jpg,,,"<ul><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sctw40n2.jpg,,,,jyuko_housing/201608/sub/srtw-rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：SRTW40N2 x 1<br />室外機：SCTW40N2 x 1<br />パネル：TWPN-W x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRTW40N2-SET,,1,,567000,567000,,0,,,,,,,,,,,,,,,,,"200182,210037",
500789,,,,,,,,5,三菱重工,【三菱重工】2方向天井カセット形 シングル 16畳程度 SRTWシリーズ,1,,"SRTW50N2-SET｜【三菱重工 ハウジングエアコン2方向天井カセット形】 シングル 16畳程度 単相200V ワイヤレス SRTWシリーズ｜販売価格:\610,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン2方向天井カセット形】 シングル<br>16畳程度 単相200V ワイヤレス SRTWシリーズ,SRTW50N2-SET,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srtw50n2-set.jpg,"【三菱重工 ハウジングエアコン2方向天井カセット形】 シングル<br>16畳程度 単相200V ワイヤレス SRTWシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srtw50n2-set.jpg,,,"<ul><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sctw50n2.jpg,,,,jyuko_housing/201608/sub/srtw-rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：SRTW50N2 x 1<br />室外機：SCTW50N2 x 1<br />パネル：TWPN-W x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRTW50N2-SET,,1,,658800,658800,,0,,,,,,,,,,,,,,,,,"200182,210040",
500790,,,,,,,,5,三菱重工,【三菱重工】2方向天井カセット形 シングル 18畳程度 SRTWシリーズ,1,,"SRTW56N2-SET｜【三菱重工 ハウジングエアコン2方向天井カセット形】 シングル 18畳程度 単相200V ワイヤレス SRTWシリーズ｜販売価格:\720,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン2方向天井カセット形】 シングル<br>18畳程度 単相200V ワイヤレス SRTWシリーズ,SRTW56N2-SET,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/srtw56n2-set.jpg,"【三菱重工 ハウジングエアコン2方向天井カセット形】 シングル<br>18畳程度 単相200V ワイヤレス SRTWシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/srtw56n2-set.jpg,,,"<ul><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/sctw56n2.jpg,,,,jyuko_housing/201608/sub/srtw-rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：SRTW56N2 x 1<br />室外機：SCTW56N2 x 1<br />パネル：TWPN-W x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,SRTW56N2-SET,,1,,777600,777600,,0,,,,,,,,,,,,,,,,,"200182,210044",
500791,,,,,,,,5,三菱重工,【三菱重工】壁ビルトイン形 シングル 8畳程度 SKUシリーズ,1,,"SKU25N2-SET｜【三菱重工 ハウジングエアコン壁ビルトイン形】 シングル 8畳程度 単相200V ワイヤレス SKUシリーズ｜販売価格:\396,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱重工 ハウジングエアコン壁ビルトイン形】 シングル<br>8畳程度 単相200V ワイヤレス SKUシリーズ,SKU25N2-SET,"白木,ホワイト,素地",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201608/sku25n2-set.jpg,"【三菱重工 ハウジングエアコン壁ビルトイン形】 シングル<br>8畳程度 単相200V ワイヤレス SKUシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_housing/201608/sku25n2-set.jpg,,,"<ul><li><font style=""color: red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料(一部地域を除く)</li><li>※メーカー1年保証付き</li></ul>",,jyuko_housing/201608/sub/scu25n2.jpg,,,,jyuko_housing/201608/sub/sku-rc.jpg,,,,jyuko_housing/201608/sub/panel3.jpg,,"<div class=""set"">▼セット内容<br />室内機：SKU25N2 x 1<br />室外機：SCU25N2 x 1<br />リモコン：同梱リモコン x 1<br />前面グリル：KUGN-M x 1<br />据付枠：KUSN x 1<br /></div>",,,,,,,2,0,1,SKU25N2-SET,,1,,427680,427680,,0,,,,,,,,,,,,,,,,,"200184,210094",
