商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
34901,,,,,,,,4,日立,日立 てんかせ4方向 1.5馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP40RSHJ1｜日立 業務用エアコン 標準省エネ 1.5馬力 てんかせ4方向 シングル 単相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:648,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>1.5馬力 てんかせ4方向 シングル<br>単相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP40RSHJ1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp40rshj1.jpg,"日立 業務用エアコン 標準省エネ<br>1.5馬力 てんかせ4方向 シングル<br>単相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp40rshj1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP40K x 1</td></tr><tr><th>室外機</th><td>RAS-GP40RSHJ1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP40RSHJ1,,1,,699840,699840,,0,,,,,,,,,,,,,,,,,"100181,110001",
34902,,,,,,,,4,日立,日立 てんかせ4方向 1.8馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP45RSHJ1｜日立 業務用エアコン 標準省エネ 1.8馬力 てんかせ4方向 シングル 単相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:694,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>1.8馬力 てんかせ4方向 シングル<br>単相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP45RSHJ1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp45rshj1.jpg,"日立 業務用エアコン 標準省エネ<br>1.8馬力 てんかせ4方向 シングル<br>単相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp45rshj1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP45K x 1</td></tr><tr><th>室外機</th><td>RAS-GP45RSHJ1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP45RSHJ1,,1,,749520,749520,,0,,,,,,,,,,,,,,,,,"100181,110002",
34903,,,,,,,,4,日立,日立 てんかせ4方向 2馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP50RSHJ1｜日立 業務用エアコン 標準省エネ 2馬力 てんかせ4方向 シングル 単相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:733,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>2馬力 てんかせ4方向 シングル<br>単相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP50RSHJ1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp50rshj1.jpg,"日立 業務用エアコン 標準省エネ<br>2馬力 てんかせ4方向 シングル<br>単相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp50rshj1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP50K x 1</td></tr><tr><th>室外機</th><td>RAS-GP50RSHJ1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP50RSHJ1,,1,,791640,791640,,0,,,,,,,,,,,,,,,,,"100181,110003",
34904,,,,,,,,4,日立,日立 てんかせ4方向 2.3馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP56RSHJ1｜日立 業務用エアコン 標準省エネ 2.3馬力 てんかせ4方向 シングル 単相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:768,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>2.3馬力 てんかせ4方向 シングル<br>単相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP56RSHJ1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp56rshj1.jpg,"日立 業務用エアコン 標準省エネ<br>2.3馬力 てんかせ4方向 シングル<br>単相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp56rshj1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP56K x 1</td></tr><tr><th>室外機</th><td>RAS-GP56RSHJ1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP56RSHJ1,,1,,829440,829440,,0,,,,,,,,,,,,,,,,,"100181,110004",
34905,,,,,,,,4,日立,日立 てんかせ4方向 2.5馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP63RSHJ1｜日立 業務用エアコン 標準省エネ 2.5馬力 てんかせ4方向 シングル 単相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:801,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>2.5馬力 てんかせ4方向 シングル<br>単相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP63RSHJ1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp63rshj1.jpg,"日立 業務用エアコン 標準省エネ<br>2.5馬力 てんかせ4方向 シングル<br>単相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp63rshj1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP63K x 1</td></tr><tr><th>室外機</th><td>RAS-GP63RSHJ1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP63RSHJ1,,1,,865080,865080,,0,,,,,,,,,,,,,,,,,"100181,110005",
34906,,,,,,,,4,日立,日立 てんかせ4方向 3馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP80RSHJ1｜日立 業務用エアコン 標準省エネ 3馬力 てんかせ4方向 シングル 単相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:863,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>3馬力 てんかせ4方向 シングル<br>単相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP80RSHJ1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp80rshj1.jpg,"日立 業務用エアコン 標準省エネ<br>3馬力 てんかせ4方向 シングル<br>単相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp80rshj1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP80K x 1</td></tr><tr><th>室外機</th><td>RAS-GP80RSHJ1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP80RSHJ1,,1,,932040,932040,,0,,,,,,,,,,,,,,,,,"100181,110006",
34907,,,,,,,,4,日立,日立 てんかせ4方向 1.5馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP40RSH1｜日立 業務用エアコン 標準省エネ 1.5馬力 てんかせ4方向 シングル 三相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:648,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>1.5馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP40RSH1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp40rsh1.jpg,"日立 業務用エアコン 標準省エネ<br>1.5馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp40rsh1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP40K x 1</td></tr><tr><th>室外機</th><td>RAS-GP40RSH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP40RSH1,,1,,699840,699840,,0,,,,,,,,,,,,,,,,,"100181,110001",
34908,,,,,,,,4,日立,日立 てんかせ4方向 1.8馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP45RSH1｜日立 業務用エアコン 標準省エネ 1.8馬力 てんかせ4方向 シングル 三相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:694,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>1.8馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP45RSH1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp45rsh1.jpg,"日立 業務用エアコン 標準省エネ<br>1.8馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp45rsh1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP45K x 1</td></tr><tr><th>室外機</th><td>RAS-GP45RSH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP45RSH1,,1,,749520,749520,,0,,,,,,,,,,,,,,,,,"100181,110002",
34909,,,,,,,,4,日立,日立 てんかせ4方向 2馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP50RSH1｜日立 業務用エアコン 標準省エネ 2馬力 てんかせ4方向 シングル 三相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:733,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>2馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP50RSH1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp50rsh1.jpg,"日立 業務用エアコン 標準省エネ<br>2馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp50rsh1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP50K x 1</td></tr><tr><th>室外機</th><td>RAS-GP50RSH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP50RSH1,,1,,791640,791640,,0,,,,,,,,,,,,,,,,,"100181,110003",
34910,,,,,,,,4,日立,日立 てんかせ4方向 2.3馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP56RSH1｜日立 業務用エアコン 標準省エネ 2.3馬力 てんかせ4方向 シングル 三相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:768,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>2.3馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP56RSH1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp56rsh1.jpg,"日立 業務用エアコン 標準省エネ<br>2.3馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp56rsh1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP56K x 1</td></tr><tr><th>室外機</th><td>RAS-GP56RSH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP56RSH1,,1,,829440,829440,,0,,,,,,,,,,,,,,,,,"100181,110004",
34911,,,,,,,,4,日立,日立 てんかせ4方向 2.5馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP63RSH1｜日立 業務用エアコン 標準省エネ 2.5馬力 てんかせ4方向 シングル 三相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:801,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>2.5馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP63RSH1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp63rsh1.jpg,"日立 業務用エアコン 標準省エネ<br>2.5馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp63rsh1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP63K x 1</td></tr><tr><th>室外機</th><td>RAS-GP63RSH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP63RSH1,,1,,865080,865080,,0,,,,,,,,,,,,,,,,,"100181,110005",
34912,,,,,,,,4,日立,日立 てんかせ4方向 3馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP80RSH1｜日立 業務用エアコン 標準省エネ 3馬力 てんかせ4方向 シングル 三相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:863,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>3馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP80RSH1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp80rsh1.jpg,"日立 業務用エアコン 標準省エネ<br>3馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp80rsh1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP80K x 1</td></tr><tr><th>室外機</th><td>RAS-GP80RSH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP80RSH1,,1,,932040,932040,,0,,,,,,,,,,,,,,,,,"100181,110006",
34913,,,,,,,,4,日立,日立 てんかせ4方向 4馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP112RSH1｜日立 業務用エアコン 標準省エネ 4馬力 てんかせ4方向 シングル 三相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:989,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>4馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP112RSH1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp112rsh1.jpg,"日立 業務用エアコン 標準省エネ<br>4馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp112rsh1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP112K x 1</td></tr><tr><th>室外機</th><td>RAS-GP112RSH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP112RSH1,,1,,1068120,1068120,,0,,,,,,,,,,,,,,,,,"100181,110007",
34914,,,,,,,,4,日立,日立 てんかせ4方向 5馬力 シングル 冷媒R32 省エネの達人,1,,"RCI-GP140RSH1｜日立 業務用エアコン 標準省エネ 5馬力 てんかせ4方向 シングル 三相200V ワイヤード 冷媒R32 省エネの達人｜販売価格:1,160,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",日立 業務用エアコン 標準省エネ<br>5馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人,RCI-GP140RSH1,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi/201704/rci-gp140rsh1.jpg,"日立 業務用エアコン 標準省エネ<br>5馬力 てんかせ4方向 シングル<br>三相200V ワイヤード<br>冷媒R32 省エネの達人<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi/201704/rci-gp140rsh1.jpg,,,"<ul><li><font style=""color:red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>RCI-GP140K x 1</td></tr><tr><th>室外機</th><td>RAS-GP140RSH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA3 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF3 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RCI-GP140RSH1,,1,,1252800,1252800,,0,,,,,,,,,,,,,,,,,"100181,110008",
