商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
501065,,,,,,,,5,三菱重工,三菱重工 1方向天井カセット形 10畳程度 シングル SRTシリーズ,1,,"SRT28X2-SET｜三菱重工 ハウジングエアコン 1方向天井カセット形 10畳程度 シングル 単相200V ワイヤレス 室内外選択 SRTシリーズ｜販売価格:440,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ハウジングエアコン<br>1方向天井カセット形 10畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,SRT28X2-SET,"ホワイト,ベージュ",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201903/srt28x2-set.jpg,三菱重工 ハウジングエアコン<br>1方向天井カセット形 10畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,jyuko_housing/201903/srt28x2-set.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SRT28X2-SETの能力（クラス）は、28クラス（10畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>3.6kw</td><td>2.8kw</td></tr><tr><td>畳数</td><td>8 - 10畳</td><td>8 - 12畳</td></tr><tr><td>m2（平米）数</td><td>13 - 16m2</td><td>13 - 19m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>SRT28X2 x 1</td></tr><tr><th>室外機</th><td>SCT28X2 x 1</td></tr><tr><th>パネル</th><td>TTPN-WX x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SRT28X2-SET,,1,,475200,475200,,0,,,,,,,,,,,,,,,,,"200181,210005",
501066,,,,,,,,5,三菱重工,三菱重工 1方向天井カセット形 10畳程度 シングル SRTシリーズ,1,,"SRT28X2-SET-wood｜三菱重工 ハウジングエアコン 1方向天井カセット形 10畳程度 シングル 単相200V ワイヤレス 室内外選択 SRTシリーズ｜販売価格:455,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ハウジングエアコン<br>1方向天井カセット形 10畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,SRT28X2-SET-wood,"板目,柾目",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201903/srt28x2-set-wood.jpg,三菱重工 ハウジングエアコン<br>1方向天井カセット形 10畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,jyuko_housing/201903/srt28x2-set-wood.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SRT28X2-SET-woodの能力（クラス）は、28クラス（10畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>3.6kw</td><td>2.8kw</td></tr><tr><td>畳数</td><td>8 - 10畳</td><td>8 - 12畳</td></tr><tr><td>m2（平米）数</td><td>13 - 16m2</td><td>13 - 19m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>SRT28X2 x 1</td></tr><tr><th>室外機</th><td>SCT28X2 x 1</td></tr><tr><th>パネル</th><td>TTPN-MX x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SRT28X2-SET-wood,,1,,491400,491400,,0,,,,,,,,,,,,,,,,,"200181,210005",
501067,,,,,,,,5,三菱重工,三菱重工 1方向天井カセット形 12畳程度 シングル SRTシリーズ,1,,"SRT36X2-SET｜三菱重工 ハウジングエアコン 1方向天井カセット形 12畳程度 シングル 単相200V ワイヤレス 室内外選択 SRTシリーズ｜販売価格:483,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ハウジングエアコン<br>1方向天井カセット形 12畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,SRT36X2-SET,"ホワイト,ベージュ",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201903/srt36x2-set.jpg,三菱重工 ハウジングエアコン<br>1方向天井カセット形 12畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,jyuko_housing/201903/srt36x2-set.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SRT36X2-SETの能力（クラス）は、36クラス（12畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>4.2kw</td><td>3.6kw</td></tr><tr><td>畳数</td><td>9 - 12畳</td><td>10 - 15畳</td></tr><tr><td>m2（平米）数</td><td>15 - 19m2</td><td>16 - 25m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>SRT36X2 x 1</td></tr><tr><th>室外機</th><td>SCT36X2 x 1</td></tr><tr><th>パネル</th><td>TTPN-WX x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SRT36X2-SET,,1,,521640,521640,,0,,,,,,,,,,,,,,,,,"200181,210006",
501068,,,,,,,,5,三菱重工,三菱重工 1方向天井カセット形 12畳程度 シングル SRTシリーズ,1,,"SRT36X2-SET-wood｜三菱重工 ハウジングエアコン 1方向天井カセット形 12畳程度 シングル 単相200V ワイヤレス 室内外選択 SRTシリーズ｜販売価格:498,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ハウジングエアコン<br>1方向天井カセット形 12畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,SRT36X2-SET-wood,"板目,柾目",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201903/srt36x2-set-wood.jpg,三菱重工 ハウジングエアコン<br>1方向天井カセット形 12畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,jyuko_housing/201903/srt36x2-set-wood.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SRT36X2-SET-woodの能力（クラス）は、36クラス（12畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>4.2kw</td><td>3.6kw</td></tr><tr><td>畳数</td><td>9 - 12畳</td><td>10 - 15畳</td></tr><tr><td>m2（平米）数</td><td>15 - 19m2</td><td>16 - 25m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>SRT36X2 x 1</td></tr><tr><th>室外機</th><td>SCT36X2 x 1</td></tr><tr><th>パネル</th><td>TTPN-MX x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SRT36X2-SET-wood,,1,,537840,537840,,0,,,,,,,,,,,,,,,,,"200181,210006",
501069,,,,,,,,5,三菱重工,三菱重工 1方向天井カセット形 14畳程度 シングル SRTシリーズ,1,,"SRT40X2-SET｜三菱重工 ハウジングエアコン 1方向天井カセット形 14畳程度 シングル 単相200V ワイヤレス 室内外選択 SRTシリーズ｜販売価格:530,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ハウジングエアコン<br>1方向天井カセット形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,SRT40X2-SET,"ホワイト,ベージュ",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201903/srt40x2-set.jpg,三菱重工 ハウジングエアコン<br>1方向天井カセット形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,jyuko_housing/201903/srt40x2-set.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SRT40X2-SETの能力（クラス）は、40クラス（14畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>5.0kw</td><td>4.0kw</td></tr><tr><td>畳数</td><td>11 - 14畳</td><td>11 - 17畳</td></tr><tr><td>m2（平米）数</td><td>18 - 23m2</td><td>18 - 28m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>SRT40X2 x 1</td></tr><tr><th>室外機</th><td>SCT40X2 x 1</td></tr><tr><th>パネル</th><td>TTPN-WX x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SRT40X2-SET,,1,,572400,572400,,0,,,,,,,,,,,,,,,,,"200181,210007",
501070,,,,,,,,5,三菱重工,三菱重工 1方向天井カセット形 14畳程度 シングル SRTシリーズ,1,,"SRT40X2-SET-wood｜三菱重工 ハウジングエアコン 1方向天井カセット形 14畳程度 シングル 単相200V ワイヤレス 室内外選択 SRTシリーズ｜販売価格:545,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ハウジングエアコン<br>1方向天井カセット形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,SRT40X2-SET-wood,"板目,柾目",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201903/srt40x2-set-wood.jpg,三菱重工 ハウジングエアコン<br>1方向天井カセット形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,jyuko_housing/201903/srt40x2-set-wood.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SRT40X2-SET-woodの能力（クラス）は、40クラス（14畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>5.0kw</td><td>4.0kw</td></tr><tr><td>畳数</td><td>11 - 14畳</td><td>11 - 17畳</td></tr><tr><td>m2（平米）数</td><td>18 - 23m2</td><td>18 - 28m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>SRT40X2 x 1</td></tr><tr><th>室外機</th><td>SCT40X2 x 1</td></tr><tr><th>パネル</th><td>TTPN-MX x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SRT40X2-SET-wood,,1,,588600,588600,,0,,,,,,,,,,,,,,,,,"200181,210007",
501071,,,,,,,,5,三菱重工,三菱重工 1方向天井カセット形 16畳程度 シングル SRTシリーズ,1,,"SRT50X2-SET｜三菱重工 ハウジングエアコン 1方向天井カセット形 16畳程度 シングル 単相200V ワイヤレス 室内外選択 SRTシリーズ｜販売価格:603,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ハウジングエアコン<br>1方向天井カセット形 16畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,SRT50X2-SET,"ホワイト,ベージュ",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201903/srt50x2-set.jpg,三菱重工 ハウジングエアコン<br>1方向天井カセット形 16畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,jyuko_housing/201903/srt50x2-set.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SRT50X2-SETの能力（クラス）は、50クラス（16畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>6.3kw</td><td>5.0kw</td></tr><tr><td>畳数</td><td>14 - 17畳</td><td>14 - 21畳</td></tr><tr><td>m2（平米）数</td><td>23 - 29m2</td><td>23 - 34m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>SRT50X2 x 1</td></tr><tr><th>室外機</th><td>SCT50X2 x 1</td></tr><tr><th>パネル</th><td>TTPN-WX x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SRT50X2-SET,,1,,651240,651240,,0,,,,,,,,,,,,,,,,,"200181,210010",
501072,,,,,,,,5,三菱重工,三菱重工 1方向天井カセット形 16畳程度 シングル SRTシリーズ,1,,"SRT50X2-SET-wood｜三菱重工 ハウジングエアコン 1方向天井カセット形 16畳程度 シングル 単相200V ワイヤレス 室内外選択 SRTシリーズ｜販売価格:618,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ハウジングエアコン<br>1方向天井カセット形 16畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,SRT50X2-SET-wood,"板目,柾目",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201903/srt50x2-set-wood.jpg,三菱重工 ハウジングエアコン<br>1方向天井カセット形 16畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,jyuko_housing/201903/srt50x2-set-wood.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SRT50X2-SET-woodの能力（クラス）は、50クラス（16畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>6.3kw</td><td>5.0kw</td></tr><tr><td>畳数</td><td>14 - 17畳</td><td>14 - 21畳</td></tr><tr><td>m2（平米）数</td><td>23 - 29m2</td><td>23 - 34m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>SRT50X2 x 1</td></tr><tr><th>室外機</th><td>SCT50X2 x 1</td></tr><tr><th>パネル</th><td>TTPN-MX x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SRT50X2-SET-wood,,1,,667440,667440,,0,,,,,,,,,,,,,,,,,"200181,210010",
501073,,,,,,,,5,三菱重工,三菱重工 1方向天井カセット形 18畳程度 シングル SRTシリーズ,1,,"SRT56X2-SET｜三菱重工 ハウジングエアコン 1方向天井カセット形 18畳程度 シングル 単相200V ワイヤレス 室内外選択 SRTシリーズ｜販売価格:703,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ハウジングエアコン<br>1方向天井カセット形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,SRT56X2-SET,"ホワイト,ベージュ",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201903/srt56x2-set.jpg,三菱重工 ハウジングエアコン<br>1方向天井カセット形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,jyuko_housing/201903/srt56x2-set.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SRT56X2-SETの能力（クラス）は、56クラス（18畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>6.7kw</td><td>5.6kw</td></tr><tr><td>畳数</td><td>15 - 18畳</td><td>15 - 23畳</td></tr><tr><td>m2（平米）数</td><td>24 - 30m2</td><td>25 - 39m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>SRT56X2 x 1</td></tr><tr><th>室外機</th><td>SCT56X2 x 1</td></tr><tr><th>パネル</th><td>TTPN-WX x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SRT56X2-SET,,1,,759240,759240,,0,,,,,,,,,,,,,,,,,"200181,210014",
501074,,,,,,,,5,三菱重工,三菱重工 1方向天井カセット形 18畳程度 シングル SRTシリーズ,1,,"SRT56X2-SET-wood｜三菱重工 ハウジングエアコン 1方向天井カセット形 18畳程度 シングル 単相200V ワイヤレス 室内外選択 SRTシリーズ｜販売価格:718,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ハウジングエアコン<br>1方向天井カセット形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,SRT56X2-SET-wood,"板目,柾目",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201903/srt56x2-set-wood.jpg,三菱重工 ハウジングエアコン<br>1方向天井カセット形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内外選択 SRTシリーズ,jyuko_housing/201903/srt56x2-set-wood.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SRT56X2-SET-woodの能力（クラス）は、56クラス（18畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>6.7kw</td><td>5.6kw</td></tr><tr><td>畳数</td><td>15 - 18畳</td><td>15 - 23畳</td></tr><tr><td>m2（平米）数</td><td>24 - 30m2</td><td>25 - 39m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>SRT56X2 x 1</td></tr><tr><th>室外機</th><td>SCT56X2 x 1</td></tr><tr><th>パネル</th><td>TTPN-MX x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SRT56X2-SET-wood,,1,,775440,775440,,0,,,,,,,,,,,,,,,,,"200181,210014",
501075,,,,,,,,5,三菱重工,三菱重工 小能力1方向天井カセット形 6畳程度 シングル SRTシリーズ,1,,"SRT22X2-SET｜三菱重工 ハウジングエアコン 小能力1方向天井カセット形 6畳程度 シングル 単相200V ワイヤレス 室外電源 SRTシリーズ｜販売価格:383,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ハウジングエアコン<br>小能力1方向天井カセット形 6畳程度 シングル<br>単相200V ワイヤレス<br>室外電源 SRTシリーズ,SRT22X2-SET,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201903/srt22x2-set.jpg,三菱重工 ハウジングエアコン<br>小能力1方向天井カセット形 6畳程度 シングル<br>単相200V ワイヤレス<br>室外電源 SRTシリーズ,jyuko_housing/201903/srt22x2-set.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">SRT22X2-SETの能力（クラス）は、22クラス（6畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>2.5kw</td><td>2.2kw</td></tr><tr><td>畳数</td><td>6 - 7畳</td><td>6 - 9畳</td></tr><tr><td>m2（平米）数</td><td>9 - 11m2</td><td>10 - 15m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>SRT22X2 x 1</td></tr><tr><th>室外機</th><td>SCT22X2 x 1</td></tr><tr><th>パネル</th><td>TCPN-WX x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SRT22X2-SET,,1,,413640,413640,,0,,,,,,,,,,,,,,,,,"200181,210003",
501076,,,,,,,,5,三菱重工,三菱重工 小能力1方向天井カセット形 8畳程度 シングル SRTシリーズ,1,,"SRT25X2-SET｜三菱重工 ハウジングエアコン 小能力1方向天井カセット形 8畳程度 シングル 単相200V ワイヤレス 室外電源 SRTシリーズ｜販売価格:398,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ハウジングエアコン<br>小能力1方向天井カセット形 8畳程度 シングル<br>単相200V ワイヤレス<br>室外電源 SRTシリーズ,SRT25X2-SET,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_housing/201903/srt25x2-set.jpg,三菱重工 ハウジングエアコン<br>小能力1方向天井カセット形 8畳程度 シングル<br>単相200V ワイヤレス<br>室外電源 SRTシリーズ,jyuko_housing/201903/srt25x2-set.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">SRT25X2-SETの能力（クラス）は、25クラス（8畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>2.8kw</td><td>2.5kw</td></tr><tr><td>畳数</td><td>6 - 8畳</td><td>7 - 10畳</td></tr><tr><td>m2（平米）数</td><td>10 - 13m2</td><td>11 - 17m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>SRT25X2 x 1</td></tr><tr><th>室外機</th><td>SCT25X2 x 1</td></tr><tr><th>パネル</th><td>TCPN-WX x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SRT25X2-SET,,1,,429840,429840,,0,,,,,,,,,,,,,,,,,"200181,210004",
