商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
35765,,,,,,,,3,三菱電機,三菱電機 天井カセット4方向 1.5馬力 シングル スリムZR,1,,"PLZ-ZRMP40SEFCM｜三菱電機 業務用エアコン 超省エネ 天井カセット4方向 1.5馬力 シングル 単相200V ワイヤード スリムZR クリーンプラス 人感ムーブアイ 自動清掃｜販売価格:813,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 1.5馬力 シングル<br>単相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃,PLZ-ZRMP40SEFCM,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi/201703/plz-zrmp40sefcm.jpg,"三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 1.5馬力 シングル<br>単相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi/201703/plz-zrmp40sefcm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>PL-ZRP40EA5 x 1</td></tr><tr><th>室外機</th><td>PUZ-ZRMP40SKA4 x 1</td></tr><tr><th>パネル</th><td>PLP-P160EWFC x 1</td></tr><tr><th>リモコン</th><td>PAR-38MA x 1</td></tr><tr><th>自動清掃ユニット</th><td>PLP-U160CE2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PLZ-ZRMP40SEFCM,,1,,878040,878040,,0,,,,,,,,,,,,,,,,,"100161,110001",
35766,,,,,,,,3,三菱電機,三菱電機 天井カセット4方向 1.5馬力 シングル スリムZR,1,,"PLZ-ZRMP40EFCM｜三菱電機 業務用エアコン 超省エネ 天井カセット4方向 1.5馬力 シングル 三相200V ワイヤード スリムZR クリーンプラス 人感ムーブアイ 自動清掃｜販売価格:813,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 1.5馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃,PLZ-ZRMP40EFCM,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi/201703/plz-zrmp40efcm.jpg,"三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 1.5馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi/201703/plz-zrmp40efcm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>PL-ZRP40EA5 x 1</td></tr><tr><th>室外機</th><td>PUZ-ZRMP40KA4 x 1</td></tr><tr><th>パネル</th><td>PLP-P160EWFC x 1</td></tr><tr><th>リモコン</th><td>PAR-38MA x 1</td></tr><tr><th>自動清掃ユニット</th><td>PLP-U160CE2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PLZ-ZRMP40EFCM,,1,,878040,878040,,0,,,,,,,,,,,,,,,,,"100161,110001",
35767,,,,,,,,3,三菱電機,三菱電機 天井カセット4方向 1.8馬力 シングル スリムZR,1,,"PLZ-ZRMP45SEFCM｜三菱電機 業務用エアコン 超省エネ 天井カセット4方向 1.8馬力 シングル 単相200V ワイヤード スリムZR クリーンプラス 人感ムーブアイ 自動清掃｜販売価格:875,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 1.8馬力 シングル<br>単相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃,PLZ-ZRMP45SEFCM,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi/201703/plz-zrmp45sefcm.jpg,"三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 1.8馬力 シングル<br>単相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi/201703/plz-zrmp45sefcm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>PL-ZRP45EA5 x 1</td></tr><tr><th>室外機</th><td>PUZ-ZRMP45SKA4 x 1</td></tr><tr><th>パネル</th><td>PLP-P160EWFC x 1</td></tr><tr><th>リモコン</th><td>PAR-38MA x 1</td></tr><tr><th>自動清掃ユニット</th><td>PLP-U160CE2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PLZ-ZRMP45SEFCM,,1,,945000,945000,,0,,,,,,,,,,,,,,,,,"100161,110002",
35768,,,,,,,,3,三菱電機,三菱電機 天井カセット4方向 1.8馬力 シングル スリムZR,1,,"PLZ-ZRMP45EFCM｜三菱電機 業務用エアコン 超省エネ 天井カセット4方向 1.8馬力 シングル 三相200V ワイヤード スリムZR クリーンプラス 人感ムーブアイ 自動清掃｜販売価格:875,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 1.8馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃,PLZ-ZRMP45EFCM,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi/201703/plz-zrmp45efcm.jpg,"三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 1.8馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi/201703/plz-zrmp45efcm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>PL-ZRP45EA5 x 1</td></tr><tr><th>室外機</th><td>PUZ-ZRMP45KA4 x 1</td></tr><tr><th>パネル</th><td>PLP-P160EWFC x 1</td></tr><tr><th>リモコン</th><td>PAR-38MA x 1</td></tr><tr><th>自動清掃ユニット</th><td>PLP-U160CE2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PLZ-ZRMP45EFCM,,1,,945000,945000,,0,,,,,,,,,,,,,,,,,"100161,110002",
35769,,,,,,,,3,三菱電機,三菱電機 天井カセット4方向 2馬力 シングル スリムZR,1,,"PLZ-ZRMP50SEFCM｜三菱電機 業務用エアコン 超省エネ 天井カセット4方向 2馬力 シングル 単相200V ワイヤード スリムZR クリーンプラス 人感ムーブアイ 自動清掃｜販売価格:924,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 2馬力 シングル<br>単相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃,PLZ-ZRMP50SEFCM,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi/201703/plz-zrmp50sefcm.jpg,"三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 2馬力 シングル<br>単相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi/201703/plz-zrmp50sefcm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>PL-ZRP50EA5 x 1</td></tr><tr><th>室外機</th><td>PUZ-ZRMP50SKA4 x 1</td></tr><tr><th>パネル</th><td>PLP-P160EWFC x 1</td></tr><tr><th>リモコン</th><td>PAR-38MA x 1</td></tr><tr><th>自動清掃ユニット</th><td>PLP-U160CE2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PLZ-ZRMP50SEFCM,,1,,997920,997920,,0,,,,,,,,,,,,,,,,,"100161,110003",
35770,,,,,,,,3,三菱電機,三菱電機 天井カセット4方向 2馬力 シングル スリムZR,1,,"PLZ-ZRMP50EFCM｜三菱電機 業務用エアコン 超省エネ 天井カセット4方向 2馬力 シングル 三相200V ワイヤード スリムZR クリーンプラス 人感ムーブアイ 自動清掃｜販売価格:924,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 2馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃,PLZ-ZRMP50EFCM,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi/201703/plz-zrmp50efcm.jpg,"三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 2馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi/201703/plz-zrmp50efcm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>PL-ZRP50EA5 x 1</td></tr><tr><th>室外機</th><td>PUZ-ZRMP50KA4 x 1</td></tr><tr><th>パネル</th><td>PLP-P160EWFC x 1</td></tr><tr><th>リモコン</th><td>PAR-38MA x 1</td></tr><tr><th>自動清掃ユニット</th><td>PLP-U160CE2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PLZ-ZRMP50EFCM,,1,,997920,997920,,0,,,,,,,,,,,,,,,,,"100161,110003",
35771,,,,,,,,3,三菱電機,三菱電機 天井カセット4方向 2.3馬力 シングル スリムZR,1,,"PLZ-ZRMP56SEFCM｜三菱電機 業務用エアコン 超省エネ 天井カセット4方向 2.3馬力 シングル 単相200V ワイヤード スリムZR クリーンプラス 人感ムーブアイ 自動清掃｜販売価格:967,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 2.3馬力 シングル<br>単相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃,PLZ-ZRMP56SEFCM,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi/201703/plz-zrmp56sefcm.jpg,"三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 2.3馬力 シングル<br>単相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi/201703/plz-zrmp56sefcm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>PL-ZRP56EA5 x 1</td></tr><tr><th>室外機</th><td>PUZ-ZRMP56SKA4 x 1</td></tr><tr><th>パネル</th><td>PLP-P160EWFC x 1</td></tr><tr><th>リモコン</th><td>PAR-38MA x 1</td></tr><tr><th>自動清掃ユニット</th><td>PLP-U160CE2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PLZ-ZRMP56SEFCM,,1,,1044360,1044360,,0,,,,,,,,,,,,,,,,,"100161,110004",
35772,,,,,,,,3,三菱電機,三菱電機 天井カセット4方向 2.3馬力 シングル スリムZR,1,,"PLZ-ZRMP56EFCM｜三菱電機 業務用エアコン 超省エネ 天井カセット4方向 2.3馬力 シングル 三相200V ワイヤード スリムZR クリーンプラス 人感ムーブアイ 自動清掃｜販売価格:967,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 2.3馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃,PLZ-ZRMP56EFCM,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi/201703/plz-zrmp56efcm.jpg,"三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 2.3馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi/201703/plz-zrmp56efcm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>PL-ZRP56EA5 x 1</td></tr><tr><th>室外機</th><td>PUZ-ZRMP56KA4 x 1</td></tr><tr><th>パネル</th><td>PLP-P160EWFC x 1</td></tr><tr><th>リモコン</th><td>PAR-38MA x 1</td></tr><tr><th>自動清掃ユニット</th><td>PLP-U160CE2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PLZ-ZRMP56EFCM,,1,,1044360,1044360,,0,,,,,,,,,,,,,,,,,"100161,110004",
35773,,,,,,,,3,三菱電機,三菱電機 天井カセット4方向 2.5馬力 シングル スリムZR,1,,"PLZ-ZRMP63SEFCM｜三菱電機 業務用エアコン 超省エネ 天井カセット4方向 2.5馬力 シングル 単相200V ワイヤード スリムZR クリーンプラス 人感ムーブアイ 自動清掃｜販売価格:1,018,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 2.5馬力 シングル<br>単相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃,PLZ-ZRMP63SEFCM,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi/201703/plz-zrmp63sefcm.jpg,"三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 2.5馬力 シングル<br>単相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi/201703/plz-zrmp63sefcm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>PL-ZRP63EA5 x 1</td></tr><tr><th>室外機</th><td>PUZ-ZRMP63SKA4 x 1</td></tr><tr><th>パネル</th><td>PLP-P160EWFC x 1</td></tr><tr><th>リモコン</th><td>PAR-38MA x 1</td></tr><tr><th>自動清掃ユニット</th><td>PLP-U160CE2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PLZ-ZRMP63SEFCM,,1,,1099440,1099440,,0,,,,,,,,,,,,,,,,,"100161,110005",
35774,,,,,,,,3,三菱電機,三菱電機 天井カセット4方向 2.5馬力 シングル スリムZR,1,,"PLZ-ZRMP63EFCM｜三菱電機 業務用エアコン 超省エネ 天井カセット4方向 2.5馬力 シングル 三相200V ワイヤード スリムZR クリーンプラス 人感ムーブアイ 自動清掃｜販売価格:1,018,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 2.5馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃,PLZ-ZRMP63EFCM,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi/201703/plz-zrmp63efcm.jpg,"三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 2.5馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi/201703/plz-zrmp63efcm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>PL-ZRP63EA5 x 1</td></tr><tr><th>室外機</th><td>PUZ-ZRMP63KA4 x 1</td></tr><tr><th>パネル</th><td>PLP-P160EWFC x 1</td></tr><tr><th>リモコン</th><td>PAR-38MA x 1</td></tr><tr><th>自動清掃ユニット</th><td>PLP-U160CE2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PLZ-ZRMP63EFCM,,1,,1099440,1099440,,0,,,,,,,,,,,,,,,,,"100161,110005",
35775,,,,,,,,3,三菱電機,三菱電機 天井カセット4方向 3馬力 シングル スリムZR,1,,"PLZ-ZRMP80SEFCM｜三菱電機 業務用エアコン 超省エネ 天井カセット4方向 3馬力 シングル 単相200V ワイヤード スリムZR クリーンプラス 人感ムーブアイ 自動清掃｜販売価格:1,082,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 3馬力 シングル<br>単相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃,PLZ-ZRMP80SEFCM,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi/201703/plz-zrmp80sefcm.jpg,"三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 3馬力 シングル<br>単相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi/201703/plz-zrmp80sefcm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>PL-ZRP80EA5 x 1</td></tr><tr><th>室外機</th><td>PUZ-ZRMP80SHA4 x 1</td></tr><tr><th>パネル</th><td>PLP-P160EWFC x 1</td></tr><tr><th>リモコン</th><td>PAR-38MA x 1</td></tr><tr><th>自動清掃ユニット</th><td>PLP-U160CE2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PLZ-ZRMP80SEFCM,,1,,1168560,1168560,,0,,,,,,,,,,,,,,,,,"100161,110006",
35776,,,,,,,,3,三菱電機,三菱電機 天井カセット4方向 3馬力 シングル スリムZR,1,,"PLZ-ZRMP80EFCM｜三菱電機 業務用エアコン 超省エネ 天井カセット4方向 3馬力 シングル 三相200V ワイヤード スリムZR クリーンプラス 人感ムーブアイ 自動清掃｜販売価格:1,082,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃,PLZ-ZRMP80EFCM,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi/201703/plz-zrmp80efcm.jpg,"三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi/201703/plz-zrmp80efcm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>PL-ZRP80EA5 x 1</td></tr><tr><th>室外機</th><td>PUZ-ZRMP80HA4 x 1</td></tr><tr><th>パネル</th><td>PLP-P160EWFC x 1</td></tr><tr><th>リモコン</th><td>PAR-38MA x 1</td></tr><tr><th>自動清掃ユニット</th><td>PLP-U160CE2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PLZ-ZRMP80EFCM,,1,,1168560,1168560,,0,,,,,,,,,,,,,,,,,"100161,110006",
35777,,,,,,,,3,三菱電機,三菱電機 天井カセット4方向 4馬力 シングル スリムZR,1,,"PLZ-ZRMP112EFCM｜三菱電機 業務用エアコン 超省エネ 天井カセット4方向 4馬力 シングル 三相200V ワイヤード スリムZR クリーンプラス 人感ムーブアイ 自動清掃｜販売価格:1,228,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃,PLZ-ZRMP112EFCM,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi/201703/plz-zrmp112efcm.jpg,"三菱電機 業務用エアコン 超省エネ<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>スリムZR クリーンプラス 人感ムーブアイ 自動清掃<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi/201703/plz-zrmp112efcm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>PL-ZRP112EA5 x 1</td></tr><tr><th>室外機</th><td>PUZ-ZRMP112KA4 x 1</td></tr><tr><th>パネル</th><td>PLP-P160EWFC x 1</td></tr><tr><th>リモコン</th><td>PAR-38MA x 1</td></tr><tr><th>自動清掃ユニット</th><td>PLP-U160CE2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PLZ-ZRMP112EFCM,,1,,1326240,1326240,,0,,,,,,,,,,,,,,,,,"100161,110007",
