商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
500001,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 10畳程度 シングル RXシリーズ,1,,"MLZ-RX282AS-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 10畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:467,640｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 10畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX282AS-wood,"板目,柾目",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201306/mlz-rx282as-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 10畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201306/mlz-rx282as-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201306/sub/mulz-rx282as.jpg,,,,mitsubishi_housing/201306/sub/rc.jpg,,,,mitsubishi_housing/201306/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX282AS-IN x 1<br />室外機：MULZ-RX282AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D03PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX282AS-wood,,1,,467640,467640,,0,,,,,,,,,,,,,,,,,"200141,210005",
500002,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 12畳程度 シングル RXシリーズ,1,,"MLZ-RX362AS｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 12畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:500,040｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 12畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX362AS,"ホワイト,ベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201306/mlz-rx362as.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 12畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201306/mlz-rx362as.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201306/sub/mulz-rx362as.jpg,,,,mitsubishi_housing/201306/sub/rc.jpg,,,,mitsubishi_housing/201306/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX362AS-IN x 1<br />室外機：MULZ-RX362AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D01PW x 1<br /></div>",,,,,,,2,0,1,MLZ-RX362AS,,1,,500040,500040,,0,,,,,,,,,,,,,,,,,"200141,210006",
500003,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 12畳程度 シングル RXシリーズ,1,,"MLZ-RX362AS-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 12畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:516,240｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 12畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX362AS-wood,"板目,柾目",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201306/mlz-rx362as-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 12畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201306/mlz-rx362as-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201306/sub/mulz-rx362as.jpg,,,,mitsubishi_housing/201306/sub/rc.jpg,,,,mitsubishi_housing/201306/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX362AS-IN x 1<br />室外機：MULZ-RX362AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D03PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX362AS-wood,,1,,516240,516240,,0,,,,,,,,,,,,,,,,,"200141,210006",
500004,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 14畳程度 シングル RXシリーズ,1,,"MLZ-RX402AS｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 14畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:548,640｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 14畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX402AS,"ホワイト,ベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201306/mlz-rx402as.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 14畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201306/mlz-rx402as.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201306/sub/mulz-rx402as.jpg,,,,mitsubishi_housing/201306/sub/rc.jpg,,,,mitsubishi_housing/201306/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX402AS-IN x 1<br />室外機：MULZ-RX402AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D01PW x 1<br /></div>",,,,,,,2,0,1,MLZ-RX402AS,,1,,548640,548640,,0,,,,,,,,,,,,,,,,,"200141,210007",
500005,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 14畳程度 シングル RXシリーズ,1,,"MLZ-RX402AS-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 14畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:564,840｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 14畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX402AS-wood,"板目,柾目",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201306/mlz-rx402as-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 14畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201306/mlz-rx402as-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201306/sub/mulz-rx402as.jpg,,,,mitsubishi_housing/201306/sub/rc.jpg,,,,mitsubishi_housing/201306/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX402AS-IN x 1<br />室外機：MULZ-RX402AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D03PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX402AS-wood,,1,,564840,564840,,0,,,,,,,,,,,,,,,,,"200141,210007",
500006,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 16畳程度 シングル RXシリーズ,1,,"MLZ-RX502AS｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 16畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:627,480｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 16畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX502AS,"ホワイト,ベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201306/mlz-rx502as.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 16畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201306/mlz-rx502as.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201306/sub/mulz-rx502as.jpg,,,,mitsubishi_housing/201306/sub/rc.jpg,,,,mitsubishi_housing/201306/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX502AS-IN x 1<br />室外機：MULZ-RX502AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D01PW x 1<br /></div>",,,,,,,2,0,1,MLZ-RX502AS,,1,,627480,627480,,0,,,,,,,,,,,,,,,,,"200141,210010",
500007,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 16畳程度 シングル RXシリーズ,1,,"MLZ-RX502AS-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 16畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:643,680｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 16畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX502AS-wood,"板目,柾目",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201306/mlz-rx502as-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 16畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201306/mlz-rx502as-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201306/sub/mulz-rx502as.jpg,,,,mitsubishi_housing/201306/sub/rc.jpg,,,,mitsubishi_housing/201306/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX502AS-IN x 1<br />室外機：MULZ-RX502AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D03PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX502AS-wood,,1,,643680,643680,,0,,,,,,,,,,,,,,,,,"200141,210010",
500008,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 18畳程度 シングル RXシリーズ,1,,"MLZ-RX562AS｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 18畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:735,480｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 18畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX562AS,"ホワイト,ベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201306/mlz-rx562as.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 18畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201306/mlz-rx562as.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201306/sub/mulz-rx562as.jpg,,,,mitsubishi_housing/201306/sub/rc.jpg,,,,mitsubishi_housing/201306/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX562AS-IN x 1<br />室外機：MULZ-RX562AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D01PW x 1<br /></div>",,,,,,,2,0,1,MLZ-RX562AS,,1,,735480,735480,,0,,,,,,,,,,,,,,,,,"200141,210014",
500009,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 18畳程度 シングル RXシリーズ,1,,"MLZ-RX562AS-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 18畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:751,680｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 18畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX562AS-wood,"板目,柾目",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201306/mlz-rx562as-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 18畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201306/mlz-rx562as-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201306/sub/mulz-rx562as.jpg,,,,mitsubishi_housing/201306/sub/rc.jpg,,,,mitsubishi_housing/201306/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX562AS-IN x 1<br />室外機：MULZ-RX562AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D03PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX562AS-wood,,1,,751680,751680,,0,,,,,,,,,,,,,,,,,"200141,210014",
500010,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 シングル RXシリーズ,1,,"MLZ-RX633AS｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 シングル単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:843,480｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形<br>シングル単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX633AS,"ホワイト,ベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201306/mlz-rx633as.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形<br>シングル単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201306/mlz-rx633as.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201306/sub/mulz-rx633as.jpg,,,,mitsubishi_housing/201306/sub/rc.jpg,,,,mitsubishi_housing/201306/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX633AS-IN x 1<br />室外機：MULZ-RX633AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D01PW x 1<br /></div>",,,,,,,2,0,1,MLZ-RX633AS,,1,,843480,843480,,0,,,,,,,,,,,,,,,,,"200141,210016",
500011,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 シングル RXシリーズ,1,,"MLZ-RX633AS-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 シングル単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:859,680｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形<br>シングル単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX633AS-wood,"板目,柾目",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201306/mlz-rx633as-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形<br>シングル単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201306/mlz-rx633as-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201306/sub/mulz-rx633as.jpg,,,,mitsubishi_housing/201306/sub/rc.jpg,,,,mitsubishi_housing/201306/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX633AS-IN x 1<br />室外機：MULZ-RX633AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D03PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX633AS-wood,,1,,859680,859680,,0,,,,,,,,,,,,,,,,,"200141,210016",
500012,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 10畳程度 シングル GXシリーズ,1,,"MLZ-GX282AS｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 10畳程度 シングル 単相200V 室内・室外選択 ワイヤレス GXシリーズ｜販売価格:435,240｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 10畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス GXシリーズ,MLZ-GX282AS,"ホワイト,ベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201306/mlz-gx282as.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 10畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス GXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201306/mlz-gx282as.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201306/sub/mulz-gx282as.jpg,,,,mitsubishi_housing/201306/sub/rc.jpg,,,,mitsubishi_housing/201306/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-GX282AS-IN x 1<br />室外機：MULZ-GX282AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-460PW x 1<br /></div>",,,,,,,2,0,1,MLZ-GX282AS,,1,,435240,435240,,0,,,,,,,,,,,,,,,,,"200141,210005",
500013,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 10畳程度 シングル GXシリーズ,1,,"MLZ-GX282AS-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 10畳程度 シングル 単相200V 室内・室外選択 ワイヤレス GXシリーズ｜販売価格:451,440｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 10畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス GXシリーズ,MLZ-GX282AS-wood,"板目,柾目",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201306/mlz-gx282as-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 10畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス GXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201306/mlz-gx282as-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201306/sub/mulz-gx282as.jpg,,,,mitsubishi_housing/201306/sub/rc.jpg,,,,mitsubishi_housing/201306/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-GX282AS-IN x 1<br />室外機：MULZ-GX282AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-462PM x 1<br /></div>",,,,,,,2,0,1,MLZ-GX282AS-wood,,1,,451440,451440,,0,,,,,,,,,,,,,,,,,"200141,210005",
